model,rmse,mse,mae,r2
Random Forest,0.956,0.914,0.397,0.983
Gradient Boosting,0.988,0.975,0.451,0.982
Classical,1.301,1.692,0.685,0.969
MLP,1.802,3.249,0.561,0.941
KNN,2.027,4.107,0.635,0.925
MLP,2.144,4.595,0.605,0.916
XGBoost,2.158,4.656,0.503,0.915
LightGBM,2.31,5.335,0.52,0.903
MLP,2.643,6.986,0.686,0.873
MLP,2.643,6.986,0.577,0.873
SVR,3.106,9.65,0.555,0.825
MLP,3.586,12.86,0.732,0.766
Elastic Net,4.942,24.421,2.318,0.556
Linear Regression,4.944,24.442,2.32,0.556
MLP,7.697,59.251,0.785,-0.077
MLP,11.636,135.387,0.78,-1.461
MLP,42544.204,1810009300.068,296.738,-32903178.333
