model,rmse,mse,mae,r2
Random Forest,0.938,0.88,0.395,0.984
Random Forest (Tuned),0.948,0.899,0.396,0.984
Gradient Boosting (WE),0.976,0.953,0.429,0.983
Gradient Boosting (Tuned),0.987,0.975,0.451,0.982
Gradient Boosting,0.988,0.976,0.451,0.982
Random Forest (WE),1.017,1.033,0.399,0.981
Linear Regression (WE),1.155,1.334,0.471,0.976
Elastic Net (WE),1.155,1.335,0.471,0.976
Classical,1.301,1.692,0.685,0.969
KNN (WE),1.358,1.844,0.559,0.966
MLP,1.919,3.681,0.838,0.933
KNN (Tuned),2.109,4.447,0.645,0.919
KNN,2.168,4.699,0.665,0.915
LightGBM (WE),2.201,4.845,0.485,0.912
XGBoost (WE),2.265,5.131,0.478,0.907
XGBoost,2.298,5.28,0.501,0.904
XGBoost (Tuned),2.298,5.28,0.501,0.904
LightGBM (Tuned),2.303,5.302,0.519,0.904
LightGBM,2.303,5.302,0.519,0.904
SVR,3.167,10.029,0.557,0.818
SVR (Tuned),3.167,10.029,0.557,0.818
SVR (WE),3.94,15.52,0.561,0.718
Elastic Net,4.939,24.399,2.301,0.556
Linear Regression,4.942,24.423,2.303,0.556
MLP (WE),5.289,27.971,3.259,0.492
Elastic Net (Tuned),5.336,28.473,1.771,0.482
